prob_score,actual
0.11339649545949182,False
0.23480344290564073,False
0.2536518130631449,True
0.03712073001817585,False
0.10457951022748396,False
0.25110233275318,False
0.1459385591573683,True
0.3737974753675285,False
0.7397449084330634,False
0.16137408543379914,False
0.5597170733270433,True
0.5910371188043708,True
0.3253819382120992,False
0.02333392776661403,False
0.40517470191072713,False
0.2550912182142672,False
0.34264450696709914,False
0.08679338128786993,False
0.4084654180152086,True
0.41649673935958303,False
0.06004200046910493,False
0.7638682158394893,True
0.02194892220782314,False
0.138704997315671,False
0.4433428253924119,False
0.15963328338110816,False
0.32154364830496035,True
0.08585676246990309,False
0.3503756985768621,False
0.03936863093047303,False
0.03128144989853328,False
0.20949500852611305,True
0.5042173266386548,False
0.1978419492862541,True
0.1882443772739379,False
0.004232926387338153,False
0.2587536189987556,False
0.4479111792551802,False
0.000375,False
0.2587704200095839,False
0.05492494112289425,False
0.014013818289553582,False
0.45328632012494,True
0.0,True
0.4678177082892202,False
0.29063666195649324,False
0.1675290551118759,False
0.28114985991294417,True
0.0019608516483516484,False
0.43022576709655447,False
0.10687108712730263,False
0.0,False
0.1292294134096513,False
0.6433247877551601,True
0.004303026018099548,False
0.35381243420368025,False
0.017408848899451605,False
0.34334729665033165,False
0.07170005205437108,False
0.31459674792071923,True
0.30315229997976817,True
0.2925289607290373,True
0.5230939091615592,True
0.0010661764705882353,False
0.07147331741631628,False
0.12423826393149855,False
0.1495270023375859,False
0.15765470842429474,False
0.3230197279478267,False
0.08276036739038321,False
0.3174134513010338,False
0.1942710041445242,False
0.0683428929171963,False
0.47515682024008166,False
0.44188433121560194,False
0.0,False
0.486269330277774,False
0.0004411764705882353,False
0.18878555585472623,False
0.06717518296663616,False
0.14809583325326772,False
0.5442676729254451,True
0.4448172589326792,False
0.14627359286443523,False
0.005819988673607095,False
0.10339382204325576,False
0.26916465173813603,False
0.07361600060950163,False
0.20218859792259752,True
0.19183907500208564,False
0.43679758201262275,False
0.6390846104230747,True
0.02376222613171142,False
0.38672847135424776,False
0.07037209370776422,False
0.1413189783196586,False
0.2679656103061763,False
0.6252150845970922,False
0.262535038196091,False
